Couleur,Valeur
trefle,Roi
trefle,4
carreau,Valet
trefle,Dame
coeur,5
carreau,8
trefle,10
coeur,Roi
trefle,9
trefle,As
coeur,7
pique,8
coeur,Dame
carreau,7
carreau,5
coeur,8
trefle,5
carreau,2
trefle,2
pique,Dame
carreau,6
pique,6
pique,10
coeur,9
pique,Valet
coeur,4
pique,9
coeur,As
carreau,Dame
pique,3
coeur,10
carreau,As
coeur,Valet
pique,4
trefle,3
coeur,6
coeur,3
carreau,3
pique,As
trefle,7
carreau,9
trefle,6
trefle,8
coeur,2
pique,2
carreau,10
pique,7
pique,Roi
trefle,Valet
pique,5
carreau,4
carreau,Roi
